className,eventId,traceLevel,nwFunction,networkElement1,networkElement2,messageDirection,
com.ericsson.pm_event.CuCpMnNrdcSetupBufMonReportOuterClass$CuCpMnNrdcSetupBufMonReport,3270,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,GNODEB,,
com.ericsson.pm_event.CuCpNcgiMeasurementOuterClass$CuCpNcgiMeasurement,3208,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpNrdcInitAccessFailOuterClass$CuCpNrdcInitAccessFail,3274,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,GNODEB,,
com.ericsson.pm_event.CuCpProcDuInitiatedUeCtxtModOuterClass$CuCpProcDuInitiatedUeCtxtMod,3169,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,ENODEB,,
com.ericsson.pm_event.CuCpProcEndcMnHoKeepSnOuterClass$CuCpProcEndcMnHoKeepSn,3162,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,ENODEB,,
com.ericsson.pm_event.CuCpProcEndcModificationOuterClass$CuCpProcEndcModification,3146,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,ENODEB,,
com.ericsson.pm_event.CuCpProcEndcPscellChangeIntraSgnbInOuterClass$CuCpProcEndcPscellChangeIntraSgnbIn,3276,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,ENODEB,,
com.ericsson.pm_event.CuCpProcEndcReleaseOuterClass$CuCpProcEndcRelease,3073,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,ENODEB,,
com.ericsson.pm_event.CuCpProcEndcSetupOuterClass$CuCpProcEndcSetup,3074,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,ENODEB,,
com.ericsson.pm_event.CuCpProcInitialCtxtEstabOuterClass$CuCpProcInitialCtxtEstab,3022,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpProcLocationReportingOuterClass$CuCpProcLocationReporting,3254,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpProcMnNrdcModificationOuterClass$CuCpProcMnNrdcModification,3245,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,GNODEB,,
com.ericsson.pm_event.CuCpProcMnNrdcReleaseOuterClass$CuCpProcMnNrdcRelease,3195,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,GNODEB,,
com.ericsson.pm_event.CuCpProcMnNrdcSetupOuterClass$CuCpProcMnNrdcSetup,3196,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,GNODEB,,
com.ericsson.pm_event.CuCpProcMnNrdcSNodeChangeOuterClass$CuCpProcMnNrdcSNodeChange,3261,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,GNODEB,,
com.ericsson.pm_event.CuCpProcNgSigConnEstabOuterClass$CuCpProcNgSigConnEstab,3024,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpProcNrHoIcExeOuterClass$CuCpProcNrHoIcExe,3256,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,TARGET_GNODEB,,
com.ericsson.pm_event.CuCpProcNrHoIcPrepOuterClass$CuCpProcNrHoIcPrep,3255,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,TARGET_GNODEB,,
com.ericsson.pm_event.CuCpProcNrHoPrepInOuterClass$CuCpProcNrHoPrepIn,3275,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,TARGET_GNODEB,,
